identifier,title,design_group,preview
default,"Codazon Unlimited - Default",unlimited,unlimited/default/preview.jpg
fashion_accessories,"Codazon Unlimited - Fashion Accessories",unlimited,unlimited/fashion_accessories/preview.jpg
fashion,"Codazon Unlimited - Fashion",unlimited,unlimited/fashion/preview.jpg
supermarket,"Codazon Unlimited - Supermarket",unlimited,unlimited/supermarket/preview.jpg
sport,"Codazon Unlimited - Sport",unlimited,unlimited/sport/preview.jpg
fashion_megastore,"Codazon Unlimited - Fashion Megastore",unlimited,unlimited/fashion_megastore/preview.jpg
drug_pharmacy,"Codazon Unlimited - Drug and Pharmacy",unlimited,unlimited/drug_pharmacy/preview.jpg
furniture,"Codazon Unlimited - Furniture",unlimited,unlimited/furniture/preview.jpg
food_drink,"Codazon Unlimited - Food and Drink",unlimited,unlimited/food_drink/preview.jpg
baby_kids,"Codazon Unlimited - Baby Kids",unlimited,unlimited/baby_kids/preview.jpg
skin_beauty,"Codazon Unlimited - Skin Beauty",unlimited,unlimited/skin_beauty/preview.jpg
motorcycle,"Codazon Unlimited - Motorcycle",unlimited,unlimited/motorcycle/preview.jpg
megamall,"Codazon Unlimited - Megamall",unlimited,unlimited/megamall/preview.jpg
cosmetics,"Codazon Unlimited - Cosmetics",unlimited,unlimited/cosmetics/preview.jpg
ceramics,"Codazon Unlimited - Ceramics",unlimited,unlimited/ceramics/preview.jpg
handbag,"Codazon Unlimited - Handbag",unlimited,unlimited/handbag/preview.jpg
luxury,"Codazon Unlimited - Luxury",unlimited,unlimited/luxury/preview.jpg
book,"Codazon Unlimited - Book",unlimited,unlimited/book/preview.jpg
hand_tools,"Codazon Unlimited - Hand Tools",unlimited,unlimited/hand_tools/preview.jpg
jewelry,"Codazon Unlimited - Jewelry",unlimited,unlimited/jewelry/preview.jpg
marketplace,"Codazon Unlimited - Marketplace",unlimited,unlimited/marketplace/preview.jpg
watches,"Codazon Unlimited - Watches",unlimited,unlimited/watches/preview.jpg
wine,"Codazon Unlimited - Wine",unlimited,unlimited/wine/preview.jpg
food_market,"Codazon Unlimited - Food Market",unlimited,unlimited/food_market/preview.jpg
grocery_gourmet,"Codazon Unlimited - Grocery and Gourmet",unlimited,unlimited/grocery_gourmet/preview.jpg
healthycare,"Codazon Unlimited - Healthy Care",unlimited,unlimited/healthycare/preview.jpg
home_decor,"Codazon Unlimited - Home Decor",unlimited,unlimited/home_decor/preview.jpg
lifestyle,"Codazon Unlimited - Lifestyle",unlimited,unlimited/lifestyle/preview.jpg
organic_beauty,"Codazon Unlimited - Organic Beauty",unlimited,unlimited/organic_beauty/preview.jpg
fashion_trends,"Codazon Unlimited - Fashion Trends",unlimited,unlimited/fashion_trends/preview.jpg
gym_clothing,"Codazon Unlimited - Gym Clothing",unlimited,unlimited/gym_clothing/preview.jpg
men_accessories,"Codazon Unlimited - Men's Accessories",unlimited,unlimited/men_accessories/preview.jpg
surfing,"Codazon Unlimited - Surfing",unlimited,unlimited/surfing/preview.jpg
decor,"Codazon Unlimited - Decor",unlimited,/p/r/preview-decor.jpg
digital,"Codazon Unlimited - Digital",unlimited,unlimited/digital/preview.jpg
electronics,"Codazon Unlimited - Electronics",unlimited,unlimited/electronics/preview.jpg
fashion_basic,"Codazon Unlimited - Basic Fashion",unlimited,unlimited/fashion_basic/preview.jpg
high_fashion,"Codazon Unlimited - High Fashion",unlimited,unlimited/high_fashion/preview.jpg
men_fashion,"Codazon Unlimited - Men Fashion",unlimited,unlimited/men_fashion/preview.jpg
sneaker,"Codazon Unlimited - Sneaker",unlimited,/p/r/preview-shoes.jpg
spa_beauty,"Codazon Unlimited - Spa Beauty",unlimited,/p/r/preview-spa.jpg
eyewear,"Codazon Unlimited - Eyewear",unlimited,/p/r/preview-store42.jpg
vegetables,"Codazon Unlimited - Vegetables",unlimited,/p/r/preview-store44.jpg
camera,"Codazon Unlimited - Camera",unlimited,/p/r/preview-cam.jpg
perfume,"Codazon Unlimited - Perfume",unlimited,/p/e/perfume-store46.jpg
delicious_food,"Codazon Unlimited - Delicious Food",unlimited,/p/r/preview-food.jpg
home_electrics,"Codazon Unlimited - Home Electrics",unlimited,/p/r/preview-home-electrics.jpg
instyle,"Codazon Unlimited - InStyle",unlimited,/p/r/preview-bag.jpg
houseplants,"Codazon Unlimited - Houseplants",unlimited,/h/o/houseplants-preview.jpg
electronic_market,"Codazon Unlimited - Electronic Market",unlimited,/p/r/preview_elec-market.jpg
organic_food,"Codazon Unlimited - Organic Food",unlimited,/o/r/organic-food.jpg
inside_home,"Codazon Unlimited - Inside Home",unlimited,/i/n/insidehome.jpg
grocery_market,"Codazon Unlimited - Grocery Market",unlimited,/p/r/preview_grocery_market.jpg
modern_furniture,"Codazon Unlimited - Modern Furniture",unlimited,/m/o/modern-furniture.jpg
coats_jackets,"Codazon Unlimited - Coats & Jackets",unlimited,/c/o/coats-jackets.jpg
